,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_url,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_url
105,2013-10-26 00:00:00.000000,Hungary,Austria,4,3,Friendly,Budapest,Hungary,0,43,636,53,596,-10,40,W,0,1,0,70,70,71,66,1886,/team/1886/hungary/fifa15_16/,73,73,74,71,1322,/team/1322/austria/fifa15_16/
106,2013-10-26 00:00:00.000000,Norway,Sweden,1,1,Friendly,Kristiania,Norway,0,47,632,25,850,22,-218,D,1,1,0,71,71,72,70,1352,/team/1352/norway/fifa15_16/,76,78,75,75,1363,/team/1363/sweden/fifa15_16/
107,2013-10-26 00:00:00.000000,Uruguay,Argentina,1,0,Copa Newton,Montevideo,Uruguay,0,6,1164,3,1266,3,-102,W,0,1,0,76,78,75,76,1377,/team/1377/uruguay/fifa15_16/,81,84,80,80,1369,/team/1369/argentina/fifa15_16/
108,2013-11-02 00:00:00.000000,Belgium,Switzerland,2,0,Friendly,Verviers,Belgium,0,5,1175,7,1138,-2,37,W,0,1,0,81,76,80,80,1325,/team/1325/belgium/fifa15_16/,76,75,77,76,1364,/team/1364/switzerland/fifa15_16/
109,2013-11-23 00:00:00.000000,Belgium,Germany,6,2,Friendly,Antwerp,Belgium,0,5,1175,2,1311,3,-136,W,0,1,0,81,76,80,80,1325,/team/1325/belgium/fifa15_16/,84,84,83,82,1337,/team/1337/germany/fifa15_16/
110,2014-01-11 00:00:00.000000,Italy,Austria,0,0,Friendly,Milan,Italy,0,7,1120,46,648,-39,472,D,1,1,0,82,81,79,82,1343,/team/1343/italy/fifa15_16/,73,73,74,71,1322,/team/1322/austria/fifa15_16/
111,2014-01-19 00:00:00.000000,Wales,Northern Ireland,1,2,British Championship,Wrexham,Wales,0,55,574,90,381,-35,193,L,2,1,0,73,69,74,72,1367,/team/1367/wales/fifa15_16/,70,71,69,69,110081,/team/110081/northern-ireland/fifa15_16/
112,2014-01-25 00:00:00.000000,France,Belgium,4,3,Friendly,Lille,France,0,20,893,11,1098,9,-205,W,0,1,0,81,83,80,80,1335,/team/1335/france/fifa15_16/,81,76,80,80,1325,/team/1325/belgium/fifa15_16/
113,2014-02-14 00:00:00.000000,England,Northern Ireland,0,3,British Championship,Middlesbrough,England,0,15,1032,85,397,-70,635,L,2,1,0,80,83,78,79,1318,/team/1318/england/fifa15_16/,70,71,69,69,110081,/team/110081/northern-ireland/fifa15_16/
114,2014-02-28 00:00:00.000000,Scotland,Wales,0,0,British Championship,Glasgow,Scotland,0,34,742,51,598,-17,144,D,1,1,0,73,75,74,69,1359,/team/1359/scotland/fifa15_16/,73,69,74,72,1367,/team/1367/wales/fifa15_16/
115,2014-03-08 00:00:00.000000,France,Switzerland,2,2,Friendly,Saint-Ouen,France,0,18,917,6,1159,12,-242,D,1,1,0,81,83,80,80,1335,/team/1335/france/fifa15_16/,76,75,77,76,1364,/team/1364/switzerland/fifa15_16/
116,2014-03-14 00:00:00.000000,Northern Ireland,Scotland,1,1,British Championship,Belfast,Ireland,0,86,388,37,721,49,-333,D,1,0,0,70,71,69,69,110081,/team/110081/northern-ireland/fifa15_16/,73,75,74,69,1359,/team/1359/scotland/fifa15_16/
117,2014-03-15 00:00:00.000000,Belgium,Netherlands,2,4,Friendly,Antwerp,Belgium,0,10,1084,11,1077,-1,7,L,2,1,0,81,76,80,80,1325,/team/1325/belgium/fifa15_16/,80,83,77,76,105035,/team/105035/netherlands/fifa15_16/
118,2014-03-16 00:00:00.000000,Wales,England,0,2,British Championship,Cardiff,Wales,0,49,609,12,1045,37,-436,L,2,1,0,73,69,74,72,1367,/team/1367/wales/fifa15_16/,80,83,78,79,1318,/team/1318/england/fifa15_16/
119,2014-03-29 00:00:00.000000,Italy,France,2,0,Friendly,Turin,Italy,0,8,1112,17,929,-9,183,W,0,1,0,82,81,79,82,1343,/team/1343/italy/fifa15_16/,81,83,80,80,1335,/team/1335/france/fifa15_16/
120,2014-04-05 00:00:00.000000,Italy,Switzerland,1,1,Friendly,Genoa,Italy,0,8,1112,7,1123,1,-11,D,1,1,0,82,81,79,82,1343,/team/1343/italy/fifa15_16/,76,75,77,76,1364,/team/1364/switzerland/fifa15_16/
121,2014-04-05 00:00:00.000000,Netherlands,Germany,4,4,Friendly,Amsterdam,Netherlands,0,11,1077,2,1336,9,-259,D,1,1,0,80,83,77,76,105035,/team/105035/netherlands/fifa15_16/,84,84,83,82,1337,/team/1337/germany/fifa15_16/
122,2014-04-26 00:00:00.000000,Netherlands,Belgium,4,2,Friendly,Amsterdam,Netherlands,0,15,967,12,1039,3,-72,W,0,1,0,80,83,77,76,105035,/team/105035/netherlands/fifa15_16/,81,76,80,80,1325,/team/1325/belgium/fifa15_16/
123,2014-05-03 00:00:00.000000,Austria,Hungary,2,0,Friendly,Vienna,Austria,0,40,673,44,623,-4,50,W,0,1,0,73,73,74,71,1322,/team/1322/austria/fifa15_16/,70,70,71,66,1886,/team/1886/hungary/fifa15_16/
124,2014-05-17 00:00:00.000000,Denmark,Netherlands,4,3,Friendly,Copenhagen,Denmark,0,23,819,15,967,8,-148,W,0,1,0,74,71,75,75,1331,/team/1331/denmark/fifa15_16/,80,83,77,76,105035,/team/105035/netherlands/fifa15_16/
125,2014-05-17 00:00:00.000000,Switzerland,Italy,0,1,Friendly,Berne,Switzerland,0,8,1161,9,1115,-1,46,L,2,1,0,76,75,77,76,1364,/team/1364/switzerland/fifa15_16/,82,81,79,82,1343,/team/1343/italy/fifa15_16/
126,2014-05-24 00:00:00.000000,Sweden,Finland,4,3,Friendly,Solna,Sweden,0,25,795,52,578,-27,217,W,0,1,0,76,78,75,75,1363,/team/1363/sweden/fifa15_16/,70,68,71,68,1334,/team/1334/finland/fifa15_16/
127,2014-05-31 00:00:00.000000,Hungary,France,5,1,Friendly,Budapest,Hungary,0,45,623,16,935,29,-312,W,0,1,0,70,70,71,66,1886,/team/1886/hungary/fifa15_16/,81,83,80,80,1335,/team/1335/france/fifa15_16/
