,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_uid,home_team_international_prestige,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_uid,away_team_international_prestige,ATT_diff,DEF_diff,MID_diff,Friendly,team_uid_x,home_ATT_age,home_DEF_age,home_MID_age,home_ATT_ht,home_DEF_ht,home_MID_ht,home_ATT_wt,home_DEF_wt,home_MID_wt,team_uid_y,away_ATT_age,away_DEF_age,away_MID_age,away_ATT_ht,away_DEF_ht,away_MID_ht,away_ATT_wt,away_DEF_wt,away_MID_wt,ATT_age_diff,DEF_age_diff,MID_age_diff,ATT_ht_diff,DEF_ht_diff,MID_ht_diff,ATT_wt_diff,DEF_wt_diff,MID_wt_diff,home_hrva_rwma,home_hrvap_rwma,home_hrva_rmean,home_hrvap_rmean
1443,2017-10-10,Ecuador,Argentina,1,3,FIFA World Cup qualification,Quito,Ecuador,0,35,767,4,1325,31,-558,L,2,1,0,72,71,71,72,111465,111465-18-158904,5,82,84,82,81,1369,1369-18-158904,9,-10,-12,-11,0,111465-18-158904,29.5,27.6,25.25,179.5,180.2,176.75,79.5,82.0,71.5,1369-18-158904,28.66666666666667,30.5,28.25,175.0,182.25,175.25,74.0,81.0,71.5,-1.0,-1.0666666666666664,-3.0,-2.75,5.199999999999988,1.5,-1.5,8.0,0.0,-0.22246847637010234,-0.16943764058924798,-0.09836065573770492,-0.06557377049180328
1444,2017-10-10,Korea Republic,Morocco,1,3,Friendly,Biel,Switzerland,1,51,659,56,635,-5,24,L,2,0,0,73,74,74,70,974,974-16-158159,5,76,74,77,77,111111,111111-17-158729,3,-3,-4,-3,1,974-16-158159,23.66666666666667,27.5,25.5,185.33333333333331,185.0,180.25,82.66666666666667,75.0,72.75,111111-17-158729,29.0,25.8,28.2,190.0,186.8,176.2,77.0,79.0,71.8,-2.1333333333333333,-1.5,-2.6999999999999997,-1.4666666666666686,-5.0,4.050000000000011,3.666666666666672,-2.0,0.9500000000000028,0.3235107144057999,0.29313331837627815,0.36,0.3466666666666667
1445,2017-10-10,Netherlands,Sweden,2,0,FIFA World Cup qualification,Amsterdam,Netherlands,0,29,819,23,918,6,-99,W,0,1,0,80,79,81,80,105035,105035-18-158904,8,76,77,76,76,1363,1363-18-158904,5,3,3,5,0,105035-18-158904,23.0,25.2,26.6,183.0,185.4,181.0,88.0,79.2,76.6,1363-18-158904,30.0,26.8,26.8,184.0,189.0,185.6,74.0,80.6,79.4,-3.8000000000000007,-4.800000000000002,-0.1999999999999993,-6.0,1.4000000000000057,-4.599999999999994,7.400000000000006,5.200000000000003,-2.800000000000012,0.3106921772928818,0.3434031495175845,0.4861111111111111,0.5
1446,2017-10-10,Panama,Costa Rica,2,1,FIFA World Cup qualification,Panama City,Panama,0,60,618,21,936,39,-318,W,0,1,0,69,68,68,68,111475,111475-18-158904,1,73,69,73,73,1383,1383-08-155359,3,-5,-1,-5,0,111475-18-158904,36.0,27.0,26.4,187.0,182.8,180.0,83.0,77.8,74.8,1383-08-155359,28.0,29.83333333333333,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,6.166666666666668,-1.0,-0.3500000000000014,7.0,3.8000000000000114,-2.0,6.666666666666671,7.799999999999998,-2.950000000000003,0.01307637932797153,0.059442859065055656,0.14285714285714285,0.16233766233766234
1447,2017-10-10,Paraguay,Venezuela,0,1,FIFA World Cup qualification,Asunción,Paraguay,0,39,738,68,525,-29,213,L,2,1,0,74,76,73,73,1375,1375-18-158904,4,72,79,69,68,111487,111487-18-158904,2,8,-6,4,0,1375-18-158904,27.5,29.0,24.25,186.5,182.6,178.0,78.5,82.4,72.25,111487-18-158904,22.75,23.0,24.0,178.75,184.8,179.5,74.75,79.4,76.5,4.5,6.25,0.25,1.6999999999999886,3.8499999999999934,-1.5,-0.9000000000000057,7.650000000000006,-4.25,-0.14653943667055172,-0.110878610687175,-0.0821917808219178,-0.06164383561643835
1448,2017-10-10,Peru,Colombia,1,1,FIFA World Cup qualification,Lima,Peru,0,12,1103,10,1191,2,-88,D,1,1,0,71,73,72,69,111108,111108-18-158904,3,79,80,79,78,111109,111109-18-158904,7,-5,-11,-7,0,111108-18-158904,26.0,26.5,27.0,169.0,181.66666666666663,175.5,66.0,73.16666666666667,74.5,111109-18-158904,28.5,26.0,29.25,183.0,180.6,181.5,80.0,76.2,77.25,0.0,-2.0,-2.25,-11.599999999999996,-1.3333333333333428,-6.0,-10.200000000000003,-6.833333333333329,-2.75,0.09056603871136161,0.12509761938284378,-0.08955223880597014,-0.06716417910447761
1449,2017-10-10,Portugal,Switzerland,2,0,FIFA World Cup qualification,Lisbon,Portugal,0,3,1386,7,1210,-4,176,W,0,1,0,83,86,82,80,1354,1354-18-158904,8,78,76,78,76,1364,1364-18-158904,5,10,4,4,0,1354-18-158904,26.5,30.8,25.25,185.0,182.6,177.25,79.5,79.0,70.25,1364-18-158904,25.5,27.8,28.0,184.0,184.6,179.5,81.5,80.2,76.25,-1.3000000000000007,5.300000000000002,-2.75,0.4000000000000057,-1.4000000000000057,-2.25,-0.7000000000000028,-2.5,-6.0,0.6386646855773503,0.6945914949247751,0.4939759036144578,0.5180722891566265
1450,2017-10-10,Russia,Iran,1,1,Friendly,Kazan,Russia,0,64,558,25,865,39,-307,D,1,1,0,76,77,76,75,1357,1357-18-158904,6,74,76,71,71,111115,111115-17-158729,3,6,-1,5,1,1357-18-158904,26.0,29.0,27.5,185.0,185.4,183.5,76.5,81.4,75.25,111115-17-158729,21.0,25.5,25.0,186.0,184.0,183.83333333333331,79.0,78.75,76.16666666666667,0.5,8.0,2.5,1.0,-0.5999999999999943,-0.3333333333333428,-2.25,2.4000000000000057,-0.9166666666666714,0.19761667532534075,0.1600172271831032,0.30158730158730157,0.30158730158730157
1451,2017-10-10,Uruguay,Bolivia,4,2,FIFA World Cup qualification,Montevideo,Uruguay,0,16,1043,46,666,-30,377,W,0,1,0,80,85,74,79,1377,1377-18-158904,7,66,75,65,65,111451,111451-18-158904,1,20,4,9,0,1377-18-158904,30.0,27.4,23.5,183.0,184.8,182.5,78.5,78.2,78.0,111451-18-158904,30.0,27.0,28.75,187.0,180.33333333333331,176.0,82.0,76.0,68.5,3.0,-2.6000000000000014,-5.25,2.6666666666666567,-2.1999999999999886,6.5,2.5,-3.799999999999997,9.5,0.04061366763396795,0.08539101904410895,0.08536585365853659,0.11585365853658537
1452,2017-11-08,Iceland,Czech Republic,1,2,Friendly,Doha,Qatar,1,21,920,46,699,-25,221,L,2,0,0,72,73,75,70,1341,1341-18-159068,2,75,75,74,73,1330,1330-18-159068,5,0,-5,1,1,1341-18-159068,25.0,30.8,28.6,190.0,189.6,182.0,85.0,80.8,76.4,1330-18-159068,22.5,26.4,24.75,188.0,182.2,180.5,83.0,81.0,75.0,-1.3999999999999986,8.3,3.8500000000000014,7.800000000000012,1.5999999999999943,1.5,4.0,-2.200000000000003,1.4000000000000057,0.1882068539704106,0.20911305339213446,-0.05172413793103448,-0.02586206896551724
