date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_rank,home_rank_pts,away_rank,away_rank_pts,rank_diff,rank_pts_diff,outcome,outcome_num,home_game,away_game,home_OVR,home_ATT,home_MID,home_DEF,home_team_id,home_team_uid,home_team_international_prestige,away_OVR,away_ATT,away_MID,away_DEF,away_team_id,away_team_uid,away_team_international_prestige,ATT_diff,DEF_diff,MID_diff,Friendly,team_uid_x,home_ATT_age,home_DEF_age,home_MID_age,home_ATT_ht,home_DEF_ht,home_MID_ht,home_ATT_wt,home_DEF_wt,home_MID_wt,team_uid_y,away_ATT_age,away_DEF_age,away_MID_age,away_ATT_ht,away_DEF_ht,away_MID_ht,away_ATT_wt,away_DEF_wt,away_MID_wt,ATT_age_diff,DEF_age_diff,MID_age_diff,ATT_ht_diff,DEF_ht_diff,MID_ht_diff,ATT_wt_diff,DEF_wt_diff,MID_wt_diff
2010-10-12,Korea Republic,Japan,0,0,Friendly,Seoul,Korea Republic,0,44,651,32,768,12,-117,D,1,1,0,71,71,69,66,974,974-12-156644,12,75,76,77,74,1411,1411-17-158729,5,-3,-10,-8,1,974-12-156644,26.666666666666668,26.0,23.0,180.33333333333334,185.8,181.66666666666666,72.33333333333333,78.2,72.66666666666667,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-0.9333333333333336,0.0,-4.199999999999999,-1.8666666666666458,3.8000000000000114,7.066666666666663,-3.066666666666677,7.200000000000003,6.866666666666674
2015-10-13,Iran,Japan,1,1,Friendly,Teheran,Iran,0,39,703,55,582,-16,121,D,1,1,0,74,76,71,71,111115,111115-17-158729,3,75,76,77,74,1411,1411-17-158729,5,2,-5,-6,1,111115-17-158729,21.0,25.5,25.0,186.0,184.0,183.83333333333334,79.0,78.75,76.16666666666667,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-6.600000000000001,-0.5,-2.1999999999999993,3.8000000000000114,2.0,9.233333333333348,3.5999999999999943,7.75,10.366666666666674
2011-01-29,Australia,Japan,0,1,AFC Asian Cup,Doha,Qatar,1,26,796,29,776,-3,20,L,2,0,0,72,70,70,67,1415,1415-12-156644,11,75,76,77,74,1411,1411-17-158729,5,-4,-9,-7,0,1415-12-156644,29.5,32.5,28.8,178.0,188.5,180.6,74.0,82.0,74.4,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,1.8999999999999986,6.5,1.6000000000000014,-4.199999999999989,6.5,6.0,-1.4000000000000057,11.0,8.600000000000009
2011-01-17,Saudi Arabia,Japan,0,5,AFC Asian Cup,Rayyan,Qatar,1,78,423,29,776,49,-353,L,2,0,0,73,73,73,73,111114,111114-18-158904,4,75,76,77,74,1411,1411-17-158729,5,-1,-3,-4,0,111114-18-158904,30.0,29.2,28.4,180.0,179.4,170.0,72.0,72.0,65.2,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,2.3999999999999986,3.1999999999999993,1.1999999999999993,-2.1999999999999886,-2.5999999999999943,-4.599999999999994,-3.4000000000000057,1.0,-0.5999999999999943
2017-09-05,Saudi Arabia,Japan,1,0,FIFA World Cup qualification,Jeddah,Saudi Arabia,0,59,601,44,696,15,-95,W,0,1,0,73,73,73,73,111114,111114-18-158904,4,75,76,77,74,1411,1411-17-158729,5,-1,-3,-4,0,111114-18-158904,30.0,29.2,28.4,180.0,179.4,170.0,72.0,72.0,65.2,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,2.3999999999999986,3.1999999999999993,1.1999999999999993,-2.1999999999999886,-2.5999999999999943,-4.599999999999994,-3.4000000000000057,1.0,-0.5999999999999943
2014-06-02,Costa Rica,Japan,1,3,Friendly,Tampa,USA,1,34,748,47,613,-13,135,L,2,0,0,73,69,73,73,1383,1383-08-155359,3,75,76,77,74,1411,1411-17-158729,5,-5,-3,-4,1,1383-08-155359,28.0,29.833333333333332,26.75,179.0,180.0,182.0,70.0,76.33333333333333,77.75,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,0.3999999999999986,3.833333333333332,-0.4499999999999993,-3.1999999999999886,-2.0,7.400000000000006,-5.400000000000006,5.333333333333329,11.950000000000003
2012-10-12,France,Japan,0,1,Friendly,Saint-Denis,France,0,13,1011,23,818,-10,193,L,2,1,0,82,86,79,81,1335,1335-13-157186,18,75,76,77,74,1411,1411-17-158729,5,12,5,2,1,1335-13-157186,24.5,26.0,25.75,182.5,181.8,176.75,77.0,76.8,72.5,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-3.1000000000000014,0.0,-1.4499999999999993,0.30000000000001137,-0.19999999999998863,2.1500000000000057,1.5999999999999943,5.799999999999997,6.700000000000003
2012-06-12,Australia,Japan,1,1,FIFA World Cup qualification,Brisbane,Australia,0,24,820,23,822,1,-2,D,1,1,0,71,66,70,68,1415,1415-13-157186,11,75,76,77,74,1411,1411-17-158729,5,-8,-8,-7,0,1415-13-157186,28.0,30.4,27.0,183.0,184.8,178.6,72.0,79.6,71.8,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,0.3999999999999986,4.399999999999999,-0.1999999999999993,0.8000000000000114,2.8000000000000114,4.0,-3.4000000000000057,8.599999999999994,6.0
2013-06-19,Italy,Japan,4,3,Confederations Cup,Recife,Brazil,1,8,1097,32,765,-24,332,W,0,0,0,82,80,82,80,1343,1343-14-157655,19,75,76,77,74,1411,1411-17-158729,5,6,4,5,0,1343-14-157655,24.0,27.0,27.5,185.0,186.0,176.5,80.0,77.6,71.75,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,-3.6000000000000014,1.0,0.3000000000000007,2.8000000000000114,4.0,1.9000000000000057,4.599999999999994,6.599999999999994,5.950000000000003
2013-11-16,Netherlands,Japan,2,2,Friendly,Genk,Belgium,1,8,1136,44,634,-36,502,D,1,0,0,79,84,76,75,105035,105035-14-157655,17,75,76,77,74,1411,1411-17-158729,5,10,-1,-1,1,105035-14-157655,29.0,23.4,26.8,187.0,185.6,175.6,71.0,79.4,72.8,1411-17-158729,26.0,27.6,27.2,182.0,182.2,174.6,71.0,75.4,65.8,1.3999999999999986,-2.6000000000000014,-0.3999999999999986,4.800000000000011,3.5999999999999943,1.0,-4.400000000000006,8.400000000000006,7.0
