,date,url,rank_id
56,09 May 2013,/fifa-world-ranking/ranking-table/men/rank/id10355/,id10355
57,11 April 2013,/fifa-world-ranking/ranking-table/men/rank/id10327/,id10327
58,14 March 2013,/fifa-world-ranking/ranking-table/men/rank/id10299/,id10299
59,14 February 2013,/fifa-world-ranking/ranking-table/men/rank/id10271/,id10271
60,17 January 2013,/fifa-world-ranking/ranking-table/men/rank/id10243/,id10243
61,19 December 2012,/fifa-world-ranking/ranking-table/men/rank/id10214/,id10214
62,07 November 2012,/fifa-world-ranking/ranking-table/men/rank/id10172/,id10172
63,03 October 2012,/fifa-world-ranking/ranking-table/men/rank/id10137/,id10137
64,05 September 2012,/fifa-world-ranking/ranking-table/men/rank/id10109/,id10109
65,08 August 2012,/fifa-world-ranking/ranking-table/men/rank/id10081/,id10081
66,04 July 2012,/fifa-world-ranking/ranking-table/men/rank/id10046/,id10046
67,06 June 2012,/fifa-world-ranking/ranking-table/men/rank/id10018/,id10018
68,09 May 2012,/fifa-world-ranking/ranking-table/men/rank/id9990/,id9990
69,11 April 2012,/fifa-world-ranking/ranking-table/men/rank/id9962/,id9962
70,07 March 2012,/fifa-world-ranking/ranking-table/men/rank/id9927/,id9927
71,15 February 2012,/fifa-world-ranking/ranking-table/men/rank/id9906/,id9906
72,18 January 2012,/fifa-world-ranking/ranking-table/men/rank/id9878/,id9878
73,21 December 2011,/fifa-world-ranking/ranking-table/men/rank/id9850/,id9850
74,23 November 2011,/fifa-world-ranking/ranking-table/men/rank/id9822/,id9822
75,19 October 2011,/fifa-world-ranking/ranking-table/men/rank/id9787/,id9787
76,21 September 2011,/fifa-world-ranking/ranking-table/men/rank/id9759/,id9759
77,24 August 2011,/fifa-world-ranking/ranking-table/men/rank/id9731/,id9731
78,18 May 2011,/fifa-world-ranking/ranking-table/men/rank/id9633/,id9633
79,12 January 2011,/fifa-world-ranking/ranking-table/men/rank/id9507/,id9507
80,17 November 2010,/fifa-world-ranking/ranking-table/men/rank/id9451/,id9451
81,11 August 2010,/fifa-world-ranking/ranking-table/men/rank/id9353/,id9353
82,26 May 2010,/fifa-world-ranking/ranking-table/men/rank/id9276/,id9276
